cell_id,cy,cx,bldg_n,glass_frac,road_segs,shore_dist,mort_n,risk_p,risk,baseline_risk,intervention_risk,expected_reduction,best_intervention,intervention_rankings
27,41.9125,-87.67850000000001,155.0,0.9358974358974359,31.0,0.15550000000001774,0.0,0.026285277636122553,Low,0.026285277636122553,0.02083204753272132,20.746328720177292,Reduced night lighting,Reduced night lighting (20.7%); Anti-collision window film (9.9%); Vegetation buffer (-10.6%); Wildlife crossing corridor (-53.3%)
28,41.9155,-87.67850000000001,269.0,0.9888888888888889,18.0,0.15550000000001774,0.0,0.004541389706466222,Low,0.004541389706466222,0.004298950931076189,5.338427024768172,Reduced night lighting,Reduced night lighting (5.3%); Wildlife crossing corridor (-64.9%); Anti-collision window film (-645.0%); Vegetation buffer (-737.6%)
29,41.918499999999995,-87.67850000000001,292.0,0.9726962457337884,12.0,0.15550000000001774,0.0,0.01169574321366381,Low,0.01169574321366381,0.004298950931076189,63.243456593217225,Reduced night lighting,Reduced night lighting (63.2%); Wildlife crossing corridor (-6.8%); Anti-collision window film (-111.0%); Vegetation buffer (-189.7%)
30,41.92150000000001,-87.67850000000001,3.0,0.75,0.0,0.15550000000001774,0.0,0.013547061102425402,Low,0.013547061102425402,0.008174946661948415,39.65520196491318,Reduced night lighting,Reduced night lighting (39.7%); Vegetation buffer (15.2%); Anti-collision window film (7.6%); Wildlife crossing corridor (0.0%)
31,41.8315,-87.67550000000001,114.0,0.9478260869565217,26.0,0.15250000000001762,0.0,0.03065172317606547,Low,0.03065172317606547,0.031554276265057704,-2.9445427384552283,Wildlife crossing corridor,Wildlife crossing corridor (-2.9%); Vegetation buffer (-58.9%); Anti-collision window film (-100.6%); Reduced night lighting (-102.6%)
32,41.8345,-87.67550000000001,93.0,0.8085106382978723,13.0,0.15250000000001762,0.0,0.04205960518703456,Low,0.04205960518703456,0.03304411917218773,21.435022927000688,Anti-collision window film,Anti-collision window film (21.4%); Wildlife crossing corridor (7.1%); Vegetation buffer (-2.6%); Reduced night lighting (-6.0%)
33,41.8375,-87.67550000000001,4.0,0.6,39.0,0.15250000000001762,0.0,0.025664004061622028,Low,0.025664004061622028,0.019742003559760975,23.075122991882697,Wildlife crossing corridor,Wildlife crossing corridor (23.1%); Vegetation buffer (-66.4%); Anti-collision window film (-78.3%); Reduced night lighting (-105.1%)
34,41.840500000000006,-87.67550000000001,2.0,0.3333333333333333,6.0,0.15250000000001762,0.0,0.021438068879875524,Low,0.021438068879875524,0.018042024499750106,15.841186065566632,Vegetation buffer,Vegetation buffer (15.8%); Reduced night lighting (11.6%); Wildlife crossing corridor (-8.7%); Anti-collision window film (-73.6%)
35,41.8435,-87.67550000000001,7.0,0.0,2.0,0.15250000000001762,0.0,0.029006478122331893,Low,0.029006478122331893,0.029006478122331893,0.0,Anti-collision window film,Anti-collision window film (0.0%); Reduced night lighting (0.0%); Vegetation buffer (0.0%); Wildlife crossing corridor (0.0%)
36,41.8465,-87.67550000000001,9.0,0.2,2.0,0.15250000000001762,0.0,0.04721781536326015,Low,0.04721781536326015,0.04721781536326015,0.0,Reduced night lighting,Reduced night lighting (0.0%); Wildlife crossing corridor (0.0%); Anti-collision window film (-26.4%); Vegetation buffer (-120.4%)
37,41.849500000000006,-87.67550000000001,158.0,0.9371069182389937,22.0,0.15250000000001762,0.0,0.07519156184852047,Low,0.07519156184852047,0.08368752763663785,-11.299094711229968,Wildlife crossing corridor,Wildlife crossing corridor (-11.3%); Anti-collision window film (-12.0%); Vegetation buffer (-22.7%); Reduced night lighting (-76.9%)
38,41.8525,-87.67550000000001,284.0,0.9929824561403509,22.0,0.15250000000001762,0.0,0.017793131879647893,Low,0.017793131879647893,0.028958339476179575,-62.75009746486872,Wildlife crossing corridor,Wildlife crossing corridor (-62.8%); Anti-collision window film (-169.6%); Vegetation buffer (-197.4%); Reduced night lighting (-296.1%)
39,41.855500000000006,-87.67550000000001,153.0,0.961038961038961,23.0,0.15250000000001762,0.0,0.08978580324877021,Low,0.08978580324877021,0.0855283024779375,4.741841824410063,Wildlife crossing corridor,Wildlife crossing corridor (4.7%); Anti-collision window film (-14.8%); Vegetation buffer (-17.2%); Reduced night lighting (-64.6%)
40,41.8585,-87.67550000000001,76.0,0.948051948051948,15.0,0.15250000000001762,0.0,0.12474329584819284,Low,0.12474329584819284,0.10799555023889038,13.42576809072268,Wildlife crossing corridor,Wildlife crossing corridor (13.4%); Anti-collision window film (6.6%); Vegetation buffer (6.1%); Reduced night lighting (-46.8%)
41,41.8615,-87.67550000000001,1.0,0.5,2.0,0.15250000000001762,0.0,0.07808319114733545,Low,0.07808319114733545,0.06154773563242752,21.17671584875049,Vegetation buffer,Vegetation buffer (21.2%); Reduced night lighting (3.9%); Wildlife crossing corridor (0.0%); Anti-collision window film (-41.5%)
42,41.8645,-87.67550000000001,8.0,0.4444444444444444,22.0,0.15250000000001762,0.0,0.10748127152907569,Low,0.10748127152907569,0.08427081861974167,21.594881209658144,Reduced night lighting,Reduced night lighting (21.6%); Vegetation buffer (21.6%); Wildlife crossing corridor (11.5%); Anti-collision window film (-87.0%)
